# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
1.000000000000000021e-08,1.800000000000000000e+03,1.499999999999999944e-01,2.099999999999999870e-03,7.816710000000000491e+01,7.816874154357241755e-01
1.000000000000000021e-08,1.800000000000000000e+03,2.999999999999999889e-01,4.000000000000000083e-03,7.816140000000000043e+01,7.816452658106324280e-01
1.000000000000000021e-08,1.800000000000000000e+03,5.999999999999999778e-01,9.799999999999999684e-03,7.821380000000000621e+01,7.822146570363895934e-01
1.000000000000000021e-08,1.800000000000000000e+03,1.199999999999999956e+00,1.949999999999999997e-02,7.815769999999999129e+01,7.817294372402618929e-01
1.000000000000000021e-08,1.800000000000000000e+03,2.399999999999999911e+00,3.449999999999999595e-02,7.814029999999999632e+01,7.816726770735903385e-01
1.000000000000000021e-08,1.800000000000000000e+03,4.799999999999999822e+00,7.100000000000000755e-02,7.821209999999999241e+01,7.826767004573247366e-01
1.000000000000000021e-08,1.800000000000000000e+03,9.599999999999999645e+00,1.422000000000000208e-01,7.811639999999999873e+01,7.822763970365860242e-01
1.000000000000000021e-08,1.800000000000000000e+03,1.919999999999999929e+01,2.912000000000000144e-01,7.796980000000000643e+01,7.819751115247600692e-01
1.000000000000000021e-08,2.100000000000000000e+03,1.499999999999999944e-01,1.900000000000000213e-03,9.353289999999999793e+01,9.353467715886601974e-01
1.000000000000000021e-08,2.100000000000000000e+03,2.999999999999999889e-01,4.500000000000000527e-03,9.356229999999999336e+01,9.356651049297218803e-01
1.000000000000000021e-08,2.100000000000000000e+03,5.999999999999999778e-01,9.000000000000001055e-03,9.354259999999999309e+01,9.355101959176326254e-01
1.000000000000000021e-08,2.100000000000000000e+03,1.199999999999999956e+00,1.720000000000000001e-02,9.350110000000000809e+01,9.351718495581240465e-01
1.000000000000000021e-08,2.100000000000000000e+03,2.399999999999999911e+00,3.499999999999999639e-02,9.354829999999999757e+01,9.358105336867903468e-01
1.000000000000000021e-08,2.100000000000000000e+03,4.799999999999999822e+00,7.309999999999999831e-02,9.343760000000000332e+01,9.350595285153446845e-01
1.000000000000000021e-08,2.100000000000000000e+03,9.599999999999999645e+00,1.415000000000000147e-01,9.336549999999999727e+01,9.349779938613137498e-01
1.000000000000000021e-08,2.100000000000000000e+03,1.919999999999999929e+01,2.818999999999999839e-01,9.326380000000000337e+01,9.352745389252302699e-01
9.999999999999999547e-08,6.000000000000000000e+02,1.499999999999999944e-01,2.570000000000000062e-02,2.187950000000000017e+01,2.188512447699058616e-01
9.999999999999999547e-08,6.000000000000000000e+02,2.999999999999999889e-01,4.839999999999999858e-02,2.187389999999999901e+01,2.188449209417357988e-01
9.999999999999999547e-08,6.000000000000000000e+02,5.999999999999999778e-01,1.038999999999999924e-01,2.185050000000000026e+01,2.187322628210710829e-01
9.999999999999999547e-08,6.000000000000000000e+02,1.199999999999999956e+00,2.233999999999999875e-01,2.188439999999999941e+01,2.193339921384372670e-01
9.999999999999999547e-08,6.000000000000000000e+02,2.399999999999999911e+00,4.176000000000000267e-01,2.177389999999999759e+01,2.186520911325696148e-01
9.999999999999999547e-08,6.000000000000000000e+02,4.799999999999999822e+00,8.657000000000000250e-01,2.161980000000000146e+01,2.180859702444058190e-01
9.999999999999999547e-08,6.000000000000000000e+02,9.599999999999999645e+00,1.689400000000000013e+00,2.147469999999999857e+01,2.184372793981523841e-01
9.999999999999999547e-08,6.000000000000000000e+02,1.919999999999999929e+01,3.324899999999999967e+00,2.108859999999999957e+01,2.181389002959396861e-01
9.999999999999999547e-08,9.000000000000000000e+02,1.499999999999999944e-01,2.500000000000000139e-02,3.500349999999999540e+01,3.501225306326581910e-01
9.999999999999999547e-08,9.000000000000000000e+02,2.999999999999999889e-01,5.079999999999999793e-02,3.499380000000000024e+01,3.501158588562989782e-01
9.999999999999999547e-08,9.000000000000000000e+02,5.999999999999999778e-01,1.028999999999999915e-01,3.497220000000000084e+01,3.500822346194233936e-01
9.999999999999999547e-08,9.000000000000000000e+02,1.199999999999999956e+00,2.047999999999999821e-01,3.499920000000000186e+01,3.507102546014237432e-01
9.999999999999999547e-08,9.000000000000000000e+02,2.399999999999999911e+00,3.937000000000000499e-01,3.487569999999999482e+01,3.501354833981384918e-01
9.999999999999999547e-08,9.000000000000000000e+02,4.799999999999999822e+00,7.981000000000000316e-01,3.465099999999999625e+01,3.492977453052814596e-01
9.999999999999999547e-08,9.000000000000000000e+02,9.599999999999999645e+00,1.582999999999999963e+00,3.446480000000000388e+01,3.501915319507808433e-01
9.999999999999999547e-08,9.000000000000000000e+02,1.919999999999999929e+01,3.139200000000000212e+00,3.377439999999999998e+01,3.486900789586706018e-01
9.999999999999999547e-08,1.200000000000000000e+03,1.499999999999999944e-01,2.239999999999999977e-02,4.893370000000000175e+01,4.894466360464744259e-01
9.999999999999999547e-08,1.200000000000000000e+03,2.999999999999999889e-01,4.760000000000000342e-02,4.881989999999999696e+01,4.884314933908540657e-01
9.999999999999999547e-08,1.200000000000000000e+03,5.999999999999999778e-01,9.160000000000000087e-02,4.878160000000000451e+01,4.882632491362087768e-01
9.999999999999999547e-08,1.200000000000000000e+03,1.199999999999999956e+00,1.960999999999999965e-01,4.886380000000000479e+01,4.895981018777823546e-01
9.999999999999999547e-08,1.200000000000000000e+03,2.399999999999999911e+00,3.732000000000000317e-01,4.864900000000000091e+01,4.883123818089108448e-01
9.999999999999999547e-08,1.200000000000000000e+03,4.799999999999999822e+00,7.703999999999999737e-01,4.846520000000000294e+01,4.884147472125253131e-01
9.999999999999999547e-08,1.200000000000000000e+03,9.599999999999999645e+00,1.519800000000000040e+00,4.804530000000000456e+01,4.878676119666694455e-01
9.999999999999999547e-08,1.200000000000000000e+03,1.919999999999999929e+01,3.012900000000000134e+00,4.723620000000000374e+01,4.870359047749649450e-01
9.999999999999999547e-08,1.500000000000000000e+03,1.499999999999999944e-01,2.239999999999999977e-02,6.333250000000000313e+01,6.334668965848350153e-01
9.999999999999999547e-08,1.500000000000000000e+03,2.999999999999999889e-01,4.580000000000000043e-02,6.331919999999999504e+01,6.334821348177465117e-01
9.999999999999999547e-08,1.500000000000000000e+03,5.999999999999999778e-01,9.439999999999999780e-02,6.324689999999999657e+01,6.330666148844509289e-01
9.999999999999999547e-08,1.500000000000000000e+03,1.199999999999999956e+00,1.880000000000000004e-01,6.321770000000000067e+01,6.333677313349096449e-01
9.999999999999999547e-08,1.500000000000000000e+03,2.399999999999999911e+00,3.617000000000000215e-01,6.309759999999999991e+01,6.332665250210010033e-01
9.999999999999999547e-08,1.500000000000000000e+03,4.799999999999999822e+00,7.258999999999999897e-01,6.282689999999999486e+01,6.328629521698005966e-01
9.999999999999999547e-08,1.500000000000000000e+03,9.599999999999999645e+00,1.471700000000000008e+00,6.232799999999999585e+01,6.325898244463773468e-01
9.999999999999999547e-08,1.500000000000000000e+03,1.919999999999999929e+01,2.909699999999999953e+00,6.138780000000000570e+01,6.322753148357765918e-01
9.999999999999999547e-08,1.800000000000000000e+03,1.499999999999999944e-01,2.100000000000000130e-02,7.824640000000000839e+01,7.826283519539103395e-01
9.999999999999999547e-08,1.800000000000000000e+03,2.999999999999999889e-01,4.290000000000000063e-02,7.821989999999999554e+01,7.825347073894700634e-01
9.999999999999999547e-08,1.800000000000000000e+03,5.999999999999999778e-01,8.899999999999999578e-02,7.815070000000000050e+01,7.822031608131236879e-01
9.999999999999999547e-08,1.800000000000000000e+03,1.199999999999999956e+00,1.769000000000000017e-01,7.807819999999999538e+01,7.821656510366838955e-01
9.999999999999999547e-08,1.800000000000000000e+03,2.399999999999999911e+00,3.584999999999999853e-01,7.795570000000000732e+01,7.823617669344600234e-01
9.999999999999999547e-08,1.800000000000000000e+03,4.799999999999999822e+00,7.295000000000000373e-01,7.760679999999999268e+01,7.817710195878936341e-01
9.999999999999999547e-08,1.800000000000000000e+03,9.599999999999999645e+00,1.418499999999999872e+00,7.703539999999999566e+01,7.814387080740301528e-01
9.999999999999999547e-08,1.800000000000000000e+03,1.919999999999999929e+01,2.847999999999999865e+00,7.583650000000000091e+01,7.805963850461132836e-01
9.999999999999999547e-08,2.100000000000000000e+03,1.499999999999999944e-01,2.239999999999999977e-02,9.350490000000000634e+01,9.352584979035304391e-01
9.999999999999999547e-08,2.100000000000000000e+03,2.999999999999999889e-01,4.000000000000000083e-02,9.348959999999999582e+01,9.352701080432173075e-01
9.999999999999999547e-08,2.100000000000000000e+03,5.999999999999999778e-01,8.589999999999999025e-02,9.349630000000000507e+01,9.357668237015596135e-01
